Rank,Water Area (sq mi),City,State,Population
8371,0.04,Alcova, WY,76
18201,0,Alda, NE,635
23001,0,Aldan, PA,"4,164"
9036,0.03,Alden, MN,626
11081,0.02,Alden, IA,756
19001,0,Alden, NY,"2,606"
26601,0,Alden, KS,108
27601,0,Alden, MI,135
9396,0.03,Alder, WA,133
18001,0,Alder, MT,109
21401,0,Alderpoint, CA,255
7006,0.06,Alderson, WV,990
20401,0,Alderson, OK,300
4815,0.14,Alderton, WA,"2,937"
28601,0,Alderwood Manor, WA,"8,628"
10741,0.02,Aldine, TX,"15,375"
10878,0.02,Aldora, GA,93
16665,0,Aldrich, MO,75
27601,0,Aldrich, MN,73
11845,0.01,Aledo, IL,"3,724"
24401,0,Aledo, TX,"2,866"
91,16.97,Aleknagik, AK,231
21001,0,Aleneva, AK,63
20401,0,Alex, OK,547
12566,0.01,Alexander, ND,272
19001,0,Alexander, NY,528
21201,0,Alexander, AR,"2,880"
26001,0,Alexander, IA,190
26601,0,Alexander, KS,34
3243,0.28,Alexander City, AL,"14,815"
1790,0.74,Alexandria, MN,"11,465"
1870,0.69,Alexandria, LA,"47,983"
2484,0.44,Alexandria, VA,"146,422"
8902,0.03,Alexandria, KY,"8,654"
11463,0.01,Alexandria, MO,136
11596,0.01,Alexandria, AL,"3,947"
16425,0,Alexandria, OH,572
18201,0,Alexandria, NE,162
23001,0,Alexandria, PA,401
23801,0,Alexandria, SD,740
24201,0,Alexandria, TN,"1,184"
25601,0,Alexandria, IN,"5,100"
1759,0.76,Alexandria Bay, NY,"1,001"
24801,0,Alexis, IL,862
23001,0,Alfarata, PA,199
11789,0.01,Alford, FL,487
16282,0,Alfordsville, IN,84
19001,0,Alfred, NY,"4,278"
24401,0,Alfred, TX,128
13469,0.01,Alger, WA,164
20001,0,Alger, OH,910
5886,0.09,Algodones, NM,896
8201,0.04,Algoma, WI,"3,152"
9488,0.03,Algoma, MS,606
10738,0.02,Algona, IA,"5,513"
28601,0,Algona, WA,"3,090"
13510,0.01,Algonac, MI,"4,065"
785,2.09,Algonquin, MD,"1,561"
4196,0.18,Algonquin, IL,"30,189"
24201,0,Algood, TN,"3,538"
12768,0.01,Alhambra, IL,675
15779,0,Alhambra, CA,"84,400"
21401,0,Alhambra Valley, CA,499
21001,0,Ali Chuk, AZ,119
21001,0,Ali Chukson, AZ,107
21001,0,Ali Molina, AZ,142
2084,0.59,Alice, TX,"19,358"
19601,0,Alice, ND,35
24401,0,Alice Acres, TX,354
20801,0,Aliceville, AL,"3,892"
21201,0,Alicia, AR,153
20401,0,Aline, OK,234
2619,0.4,Aliquippa, PA,"9,356"
21401,0,Aliso Viejo, CA,"49,437"
1008,1.52,Allakaket, AK,72
16360,0,Allamuchy, NJ,100
24201,0,Allardt, TN,558
2577,0.41,Allegan, MI,"5,030"
13086,0.01,Allegany, NY,"1,868"
21401,0,Alleghany, CA,115
12749,0.01,Alleghenyville, PA,"1,199"
26001,0,Alleman, IA,592
5605,0.1,Allen, TX,"89,845"
13727,0.01,Allen, MD,88
18201,0,Allen, NE,316
20401,0,Allen, OK,990
23801,0,Allen, SD,655
26601,0,Allen, KS,333
27601,0,Allen, MI,227
11455,0.01,Allen City, KY,180
7762,0.05,Allen Park, MI,"27,869"
1502,0.92,Allendale, MI,"18,393"
6856,0.06,Allendale, CA,"1,613"
10114,0.02,Allendale, NJ,"6,666"
17401,0,Allendale, MO,94
23801,0,Allendale, SC,"3,328"
24801,0,Allendale, IL,633
10277,0.02,Allenhurst, NJ,486
13133,0.01,Allenhurst, GA,555
6596,0.07,Allenport, PA,592
5882,0.09,Allenport borough, PA,461
10432,0.02,Allenspark, CO,632
14896,0,Allensville, KY,143
16072,0,Allensville, PA,452
21401,0,Allensworth, CA,480
29001,0,Allenton, WI,928
2376,0.48,Allentown, PA,"118,793"
3706,0.23,Allentown, FL,990
9519,0.03,Allentown, NJ,"1,828"
14091,0,Allentown, GA,242
17401,0,Allenville, MO,76
24801,0,Allenville, IL,130
5271,0.12,Allenwood, NJ,"1,022"
23001,0,Allenwood, PA,513
16280,0,Allerton, IA,474
24801,0,Allerton, IL,244
16353,0,Allgood, AL,607
7920,0.04,Alliance, OH,"22,196"
11716,0.01,Alliance, NE,"8,501"
19401,0,Alliance, NC,802
7172,0.06,Alligator, MS,382
15144,0,Allison, PA,564
26001,0,Allison, IA,"1,184"
23001,0,Allison Park, PA,"20,867"
5311,0.11,Allisonia, VA,156
2195,0.54,Allouez, WI,"13,948"
3453,0.25,Alloway, NJ,"1,710"
15112,0,Allport, PA,367
21201,0,Allport, AR,228
6187,0.08,Allyn, WA,"2,098"
631,2.64,Alma, WI,766
1850,0.7,Alma, GA,"3,514"
4326,0.17,Alma, AR,"5,514"
4478,0.16,Alma, MI,"9,289"
10959,0.02,Alma, TX,412
11298,0.01,Alma, KS,826
15281,0,Alma, CO,348
17401,0,Alma, MO,375
18201,0,Alma, NE,"1,159"
24801,0,Alma, IL,382
29001,0,Alma Center, WI,518
21401,0,Almanor, CA,10
3914,0.21,Almedia, PA,"1,014"
26601,0,Almena, KS,524
29001,0,Almena, WI,688
28601,0,Almira, WA,254
15110,0,Almond, WI,452
19001,0,Almond, NY,535
16303,0,Almont, MI,"2,670"
19601,0,Almont, ND,122
21201,0,Almyra, AR,336
22601,0,Aloha, OR,"52,902"
8537,0.04,Alondra Park, CA,"8,833"
9085,0.03,Alorton, IL,"1,729"
21401,0,Alpaugh, CA,969
1867,0.69,Alpena, MI,"10,336"
11272,0.01,Alpena, SD,296
13541,0.01,Alpena, AR,436
7412,0.05,Alpha, MI,83
9485,0.03,Alpha, NJ,"2,320"
17008,0,Alpha, MN,252
24801,0,Alpha, IL,595
2747,0.37,Alpharetta, GA,"60,903"
587,2.82,Alpine, NJ,"1,710"
14364,0,Alpine, CA,"14,580"
16248,0,Alpine, TX,"6,026"
16667,0,Alpine, AZ,127
20801,0,Alpine, WY,744
22201,0,Alpine, CO,137
22601,0,Alpine, OR,136
28201,0,Alpine, UT,"9,856"
20801,0,Alpine Northeast, WY,10
11525,0.01,Alpine Northwest, WY,295
21401,0,Alpine Village, CA,105
15555,0,Alsace Manor, PA,285
22601,0,Alsea, OR,142
2248,0.52,Alsen, ND,55
12199,0.01,Alsey, IL,264
5532,0.1,Alsip, IL,"19,385"
9611,0.03,Alston, GA,157
13251,0.01,Alta, CA,369
13309,0.01,Alta, UT,342
20801,0,Alta, WY,390
26001,0,Alta, IA,"1,919"
10259,0.02,Alta Sierra, CA,"6,902"
26001,0,Alta Vista, IA,293
26601,0,Alta Vista, KS,474
10897,0.02,Altadena, CA,"44,622"
8577,0.04,Altamahaw, NC,376
9752,0.02,Altamont, KS,"1,099"
14660,0,Altamont, MO,200
16925,0,Altamont, NY,"1,609"
22601,0,Altamont, OR,"19,278"
23001,0,Altamont, PA,710
23801,0,Altamont, SD,41
24201,0,Altamont, TN,"1,070"
24801,0,Altamont, IL,"2,257"
28201,0,Altamont, UT,284
1980,0.63,Altamonte Springs, FL,"41,889"
5319,0.11,Altavista, VA,"3,456"
17401,0,Altenburg, MO,466
8834,0.03,Altha, FL,619
6592,0.07,Altheimer, AR,"1,012"
12160,0.01,Altmar, NY,372
16381,0,Alto, GA,"1,103"
21401,0,Alto, CA,678
24401,0,Alto, TX,"1,323"
24401,0,Alto Bonito Heights, TX,415
9056,0.03,Alto Pass, IL,486
1175,1.27,Alton, IL,"27,517"
8484,0.04,Alton, UT,115
8954,0.03,Alton, NH,397
9856,0.02,Alton, TX,"14,735"
10671,0.02,Alton, IN,40
11086,0.02,Alton, MO,"1,173"
26001,0,Alton, IA,"1,190"
26601,0,Alton, KS,133
7145,0.06,Altona, CO,544
19001,0,Altona, NY,832
24801,0,Altona, IL,482
25601,0,Altona, IN,255
3847,0.21,Altoona, WI,"6,940"
7341,0.05,Altoona, FL,103
12288,0.01,Altoona, AL,764
14360,0,Altoona, KS,390
15312,0,Altoona, PA,"45,987"
26001,0,Altoona, IA,"15,317"
28601,0,Altoona, WA,40
17008,0,Altura, MN,467
303,6,Alturas, FL,"3,948"
11365,0.01,Alturas, CA,"2,714"
3976,0.2,Altus, OK,"19,716"
21201,0,Altus, AR,843
6622,0.07,Alum Creek, WV,"1,832"
21401,0,Alum Rock, CA,"10,992"
1327,1.08,Alva, FL,"2,040"
20401,0,Alva, OK,"4,990"
24801,0,Alvan Village, IL,255
1789,0.74,Alvarado, TX,"3,832"
17008,0,Alvarado, MN,437
1112,1.35,Alvin, TX,"24,938"
18201,0,Alvo, NE,155
24401,0,Alvord, TX,"1,523"
26001,0,Alvord, IA,236
16405,0,Alvordton, OH,195
18001,0,Alzada, MT,37
1511,0.91,Ama, LA,"1,362"
24401,0,Amada Acres, TX,115
10793,0.02,Amado, AZ,166
21401,0,Amador City, CA,164
9700,0.02,Amagansett, NY,"1,355"
21201,0,Amagon, AR,91
5096,0.12,Amalga, UT,527
26001,0,Amana, IA,334
20001,0,Amanda, OH,670
3302,0.28,Amanda Park, WA,175
13401,0.01,Amargosa Colonia, TX,5
921,1.69,Amarillo, TX,"194,930"
13444,0.01,Amasa, MI,351
16460,0,Amaya Colonia, TX,31
16858,0,Amazonia, MO,270
20401,0,Amber, OK,352
12770,0.01,Amberg, WI,172
20001,0,Amberley, OH,"3,585"
25601,0,Ambia, IN,256
994,1.55,Ambler, AK,329
23001,0,Ambler, PA,"6,481"
10982,0.02,Amboy, WA,"1,558"
16935,0,Amboy, IN,348
17008,0,Amboy, MN,499
24801,0,Amboy, IL,"2,319"
3918,0.21,Ambridge, PA,"6,973"
6083,0.08,Ambrose, GA,502
19601,0,Ambrose, ND,26
3412,0.26,Amelia, LA,"2,290"
20001,0,Amelia, OH,"5,323"
12911,0.01,Amelia Court House, VA,825
9358,0.03,Amenia, NY,"1,222"
19601,0,Amenia, ND,125
12785,0.01,American Canyon, CA,"20,089"
24801,0,American Falls, ID,"4,398"
28201,0,American Fork, UT,"27,366"
3790,0.22,Americus, GA,"16,557"
9202,0.03,Americus, IN,535
11766,0.01,Americus, KS,822
1947,0.65,Amery, WI,"2,890"
6866,0.06,Ames, IA,"61,276"
15169,0,Ames, NE,75
19001,0,Ames, NY,176
20401,0,Ames, OK,254
24401,0,Ames, TX,"1,195"
5172,0.12,Ames Lake, WA,"1,231"
1042,1.46,Amesbury Town, MA,"16,554"
6819,0.06,Amesti, CA,"3,213"
20001,0,Amesville, OH,153
7092,0.06,Amherst, OH,"12,080"
7601,0.05,Amherst, WI,"1,180"
10983,0.02,Amherst, VA,"2,643"
18201,0,Amherst, NE,240
18601,0,Amherst, NH,490
22201,0,Amherst, CO,35
24401,0,Amherst, TX,949
10315,0.02,Amherst Center, MA,"19,543"
11252,0.01,Amherst Junction, WI,391
10715,0.02,Amherstdale, WV,201
19601,0,Amidon, ND,32
24401,0,Amistad Acres, TX,14
11191,0.01,Amite City, LA,"4,234"
12349,0.01,Amity, OR,"1,568"
15768,0,Amity, MO,24
21201,0,Amity, AR,774
15320,0,Amity Gardens, PA,"3,290"
2794,0.36,Amityville, NY,"9,551"
12883,0.01,Ammon, ID,"14,257"
25601,0,Amo, IN,495
16775,0,Amoret, MO,195
20401,0,Amorita, OK,1
2039,0.6,Amory, MS,"7,197"
2660,0.39,Amsterdam, NY,"18,348"
10697,0.02,Amsterdam, MT,207
14215,0,Amsterdam, MO,237
20001,0,Amsterdam, OH,538
13285,0.01,Anacoco, LA,"1,077"
371,4.67,Anaconda-Deer Lodge County, MT,"9,243"
448,3.78,Anacortes, WA,"15,965"
24401,0,Anacua, TX,12
6484,0.07,Anadarko, OK,"6,786"
1444,0.98,Anaheim, CA,"342,973"
2687,0.39,Anahola, HI,"2,122"
24401,0,Anahuac, TX,"2,110"
7321,0.05,Anaktuvuk Pass, AK,233
12751,0.01,Anamoose, ND,265
11931,0.01,Anamosa, IA,"5,526"
28801,0,Anawalt, WV,212
24801,0,Anchor, IL,130
21401,0,Anchor Bay, CA,254
3905,0.21,Anchor Point, AK,"2,189"
5,256.32,Anchorage, AK,"298,178"
11892,0.01,Anchorage, KY,"2,154"
16219,0,Ancient Oaks, PA,"7,312"
26601,0,Andale, KS,879
4528,0.16,Andalusia, AL,"9,048"
16009,0,Andalusia, IL,"1,471"
484,3.54,Anderson, AK,257
3516,0.25,Anderson, CA,"10,066"
5419,0.11,Anderson, IN,"55,789"
7925,0.04,Anderson, SC,"26,798"
13306,0.01,Anderson, SD,229
14649,0,Anderson, NJ,252
15428,0,Anderson, TX,247
16324,0,Anderson, AL,322
17401,0,Anderson, MO,"2,508"
26001,0,Anderson, IA,12
2373,0.48,Anderson Island, WA,877
13042,0.01,Andersonville, GA,232
20001,0,Andersonville, OH,886
24201,0,Andersonville, TN,238
16442,0,Andes, NY,219
1472,0.95,Andover, MN,"31,271"
6188,0.08,Andover, MA,"8,953"
7422,0.05,Andover, KS,"12,113"
10540,0.02,Andover, NJ,677
11110,0.02,Andover, NY,860
20001,0,Andover, OH,"1,029"
23801,0,Andover, SD,87
24801,0,Andover, IL,582
26001,0,Andover, IA,101
26001,0,Andrew, IA,399
8605,0.04,Andrews, MD,"3,356"
11814,0.01,Andrews, TX,"12,160"
13187,0.01,Andrews, IN,"1,099"
19401,0,Andrews, NC,"1,959"
23801,0,Andrews, SC,"2,839"
24601,0,Andrews, FL,"1,198"
21001,0,Anegam, AZ,77
14280,0,Aneta, ND,278
2119,0.58,Aneth, UT,426
8067,0.04,Angel Fire, NM,"1,161"
19001,0,Angelica, NY,894
29001,0,Angelica, WI,87
12482,0.01,Angels, CA,"3,782"
13311,0.01,Angie, LA,251
8654,0.03,Angier, NC,"4,760"
3267,0.28,Angle Inlet, MN,25
10509,0.02,Angleton, TX,"19,034"
7778,0.05,Angola, IN,"8,610"
19001,0,Angola, NY,"1,813"
19001,0,Angola On The Lake, NY,"1,720"
115,14.36,Angoon, AK,416
17201,0,Anguilla, MS,566
12935,0.01,Angus, TX,379
8058,0.04,Angwin, CA,"3,583"
692,2.38,Aniak, AK,519
18801,0,Animas, NM,148
26001,0,Anita, IA,927
8427,0.04,Aniwa, WI,242
26001,0,Ankeny, IA,"49,488"
28801,0,Anmoore, WV,866
1573,0.87,Ann Arbor, MI,"115,985"
6809,0.06,Anna, TX,"9,108"
10510,0.02,Anna, IL,"4,385"
16791,0,Anna, OH,"1,444"
5321,0.11,Anna Maria, FL,"1,219"
28201,0,Annabella, UT,894
17401,0,Annada, MO,52
11833,0.01,Annandale, VA,"43,479"
17008,0,Annandale, MN,"3,281"
18601,0,Annandale, NJ,"1,404"
1500,0.92,Annapolis, MD,"38,599"
11806,0.01,Annapolis, MO,420
24801,0,Annapolis, IL,55
384,4.46,Annapolis Neck, MD,"11,266"
24801,0,Annawan, IL,930
7043,0.06,Annetta, TX,"1,509"
24401,0,Annetta North, TX,415
9874,0.02,Annetta South, TX,537
22601,0,Annex, OR,317
6615,0.07,Anniston, AL,"22,749"
17401,0,Anniston, MO,219
24401,0,Annona, TX,348
7923,0.04,Annville, KY,766
12424,0.01,Annville, PA,"4,826"
2286,0.51,Anoka, MN,"17,202"
18201,0,Anoka, NE,15
18201,0,Anselmo, NE,147
18201,0,Ansley, NE,398
6861,0.06,Anson, ME,734
14539,0,Anson, TX,"2,069"
4363,0.17,Ansonia, CT,"19,128"
10192,0.02,Ansonia, OH,962
19401,0,Ansonville, NC,650
14039,0,Ansted, WV,"1,593"
21001,0,Antares, AZ,127
13912,0,Antelope, SD,"1,211"
18001,0,Antelope, MT,23
21401,0,Antelope, CA,"47,798"
22601,0,Antelope, OR,8
7446,0.05,Antelope Hills, WY,97
20801,0,Antelope Valley-Crestview, WY,"1,762"
14500,0,Anthem, AZ,"23,995"
26001,0,Anthon, IA,713
4238,0.18,Anthony, KS,"2,340"
6091,0.08,Anthony, TX,"5,218"
18801,0,Anthony, NM,"9,462"
21201,0,Anthonyville, AR,216
27401,0,Antietam, MD,115
7263,0.05,Antigo, WI,"8,075"
28201,0,Antimony, UT,141
1796,0.73,Antioch, CA,"105,630"
2695,0.38,Antioch, IL,"14,395"
20001,0,Antioch, OH,119
19601,0,Antler, ND,9
12249,0.01,Antlers, OK,"2,437"
12996,0.01,Antoine, AR,144
24401,0,Anton, TX,"1,280"
18801,0,Anton Chico, NM,55
22201,0,Antonito, CO,774
11007,0.02,Antreville, SC,120
12896,0.01,Antrim, NH,"1,384"
8848,0.03,Antwerp, NY,540
16452,0,Antwerp, OH,"1,583"
729,2.27,Anvik, AK,86
6160,0.08,Anza, CA,"2,356"
18801,0,Anzac Village, NM,140
11732,0.01,Apache, OK,"1,315"
10966,0.02,Apache Creek, NM,63
12035,0.01,Apache Junction, AZ,"36,965"
1855,0.7,Apalachicola, FL,"2,129"
19001,0,Apalachin, NY,"1,448"
6966,0.06,Apex, NC,"40,631"
13692,0.01,Apison, TN,"2,617"
26001,0,Aplington, IA,"1,104"
7969,0.04,Apollo, PA,"1,534"
675,2.45,Apollo Beach, FL,"15,648"
1109,1.35,Apopka, FL,"44,462"
10005,0.02,Appalachia, VA,"1,732"
1934,0.66,Apple Canyon Lake, IL,382
14411,0,Apple Creek, OH,"1,168"
4546,0.16,Apple Grove, WV,183
12363,0.01,Apple Mountain Lake, VA,"1,509"
24801,0,Apple River, IL,485
1698,0.79,Apple Valley, OH,"5,465"
1846,0.7,Apple Valley, MN,"49,911"
2960,0.33,Apple Valley, CA,"70,561"
28201,0,Apple Valley, UT,977
24401,0,Appleby, TX,577
13106,0.01,Applegate, MI,314
2342,0.49,Appleton, WI,"72,861"
6728,0.07,Appleton, MN,"1,510"
16041,0,Appleton City, MO,"1,334"
23001,0,Applewold, PA,307
2756,0.37,Applewood, CO,"7,467"
12781,0.01,Appomattox, VA,"2,132"
21401,0,Aptos, CA,"5,872"
8812,0.03,Aptos Hills-Larkin Valley, CA,"1,808"
19401,0,Aquadale, NC,353
705,2.33,Aquasco, MD,758
5660,0.1,Aquebogue, NY,"2,012"
3340,0.27,Aquia Harbour, VA,"6,544"
16180,0,Aquilla, TX,77
20001,0,Aquilla, OH,336
4902,0.13,Arab, AL,"8,241"
